brand_name,normalized_brand_name,source_file,confidence,evidence,notes
CEREZYME,CEREZYME,Copy of 195158-4643510.md,1.0,,
Cibinqo,Cibinqo,Copy of 298309-4972610.md,1.0,,
Cimzia,Cimzia,Copy of 247339-4770410.md,1.0,,
CLARAVIS,CLARAVIS,Copy of 195158-4643510.md,1.0,,
COMETRIQ,COMETRIQ,Copy of 195158-4643510.md,1.0,,
COSENTYX,Cosentyx,Copy of 195239-4641478.md,1.0,,
CRYSVITA,Crysvita,Copy of 195239-4641478.md,1.0,,
cyclosporine,Cyclosporine,Copy of 215824-5041653.md,1.0,,
Cyltezo,Cyltezo,Copy of 247339-4770410.md,1.0,,
CYSTAGON,Cystagon,Copy of 195158-4643510.md,1.0,,
CYSTARAN,Cystaran,Copy of 195158-4643510.md,1.0,,
Cytoxan,Cytoxan,Copy of 247339-4770410.md,1.0,,
DARAPRIM,Daraprim,Copy of 195158-4643510.md,1.0,,
Darzalex,Darzalex,Copy of 287728-4459856.md,1.0,,
Darzalex Faspro,Darzalex Faspro,Copy of 287728-4459856.md,1.0,,
DAURISMO,Daurismo,Copy of 195158-4643510.md,1.0,,
DAYBUE,Daybue,Copy of 195239-4641478.md,1.0,,
DEMSER,Demser,Copy of 195158-4643510.md,1.0,,
Depen,Depen,Copy of 195239-4641478.md,1.0,,
DEPO-TESTOSTERONE,Depo-Testosterone,Copy of 195158-4643510.md,1.0,,
DEXCOM,DEXCOM,Copy of 195158-4643510.md,1.0,,
DIACOMIT,DIACOMIT,Copy of 195158-4643510.md,1.0,,
DIAZEPAM INTENSOL,DIAZEPAM INTENSOL,Copy of 195158-4643510.md,1.0,,
DOPTELET,DOPTELET,Copy of 195158-4643510.md,1.0,,
DRIZALMA,DRIZALMA,Copy of 195158-4643510.md,1.0,,
DUPIXENT,Dupixent,Copy of 195239-4641478.md,1.0,,
DYSPORT,Dysport,Copy of 195239-4641478.md,1.0,,
Elrexfio,Elrexfio,Copy of 287728-4459856.md,1.0,,
EMGALITY,Emgality,Copy of 195158-4643510.md,1.0,,
Empliciti,Empliciti,Copy of 287728-4459856.md,1.0,,
ENBREL,Enbrel,Copy of 195158-4643510.md,1.0,,
ENDARI,Endari,Copy of 195239-4641478.md,1.0,,
ENSPRYNG,Enspryng,Copy of 195239-4641478.md,1.0,,
ENSTILAR,ENSTILAR,Copy of 195158-4643510.md,1.0,,
Entocort EC,Entocort EC,Copy of 203402-5001149.md,1.0,,
Entvyio,Entyvio,Copy of 269830-4591538.md,,,
EPCLUSA,Epclusa,Copy of 195239-4641478.md,1.0,,
EPIDIOLEX,EPIDIOLEX,Copy of 195239-4641478.md,1.0,,
ERIVEDGE,ERIVEDGE,Copy of 195158-4643510.md,1.0,,
ERLEADA,ERLEADA,Copy of 195158-4643510.md,1.0,,
ESBRIET,ESBRIET,Copy of 195158-4643510.md,1.0,,
Evomela,Evomela,Copy of 287728-4459856.md,1.0,,
FABHALTA,Fabhalta,Copy of 195239-4641478.md,1.0,,
Farydak,Farydak,Copy of 287728-4459856.md,1.0,,
FASENRA,FASENRA,Copy of 195239-4641478.md,1.0,,
FETZIMA,FETZIMA,Copy of 195239-4641478.md,1.0,,
FILSPARI,FILSPARI,Copy of 195239-4641478.md,1.0,,
FILSUVEZ,FILSUVEZ,Copy of 195239-4641478.md,1.0,,
FOTIVDA,FOTIVDA,Copy of 195158-4643510.md,1.0,,
FREESTYLE LIBRE SYSTEMS,Freestyle Libre,Copy of 308650-4595103.md,1.0,,
GENOTROPIN,Genotropin,Copy of 195239-4641478.md,1.0,,
GLYDO,GLYDO,Copy of 195158-4643510.md,1.0,,
Hadlima,Hadlima,Copy of 247339-4770410.md,1.0,,
HAEGARDA,HAEGARDA,Copy of 195239-4641478.md,1.0,,
HERCEPTIN,Herceptin,Copy of 195158-4643510.md,1.0,,
HERCEPTIN HYLECTA,Herceptin Hylecta,Copy of 195158-4643510.md,1.0,,
HERZUMA,Herzuma,Copy of 195158-4643510.md,1.0,,
HETLIOZ,Hetlioz,Copy of 195158-4643510.md,1.0,,
Hulio,Hulio,Copy of 247339-4770410.md,1.0,,
HUMIRA,Humira,Copy of 195158-4643510.md,1.0,,
Hyrimoz,Hyrimoz,Copy of 247339-4770410.md,1.0,,
IBRANCE,IBRANCE,Copy of 195158-4643510.md,1.0,,
ICLUSIG,ICLUSIG,Copy of 195158-4643510.md,1.0,,
Idacio,Idacio,Copy of 247339-4770410.md,1.0,,
IDHIFA,IDHIFA,Copy of 195158-4643510.md,1.0,,
Ilumya,Ilumya,Copy of 247339-4770410.md,1.0,,
IMBRUVICA,IMBRUVICA,Copy of 195158-4643510.md,1.0,,
IMPAVIDO,IMPAVIDO,Copy of 195158-4643510.md,1.0,,
imuldosa,Imuldosa,Copy of 203402-5001149.md,1.0,,
INBRIJA,INBRIJA,Copy of 195158-4643510.md,1.0,,
INCRELEX,INCRELEX,Copy of 195158-4643510.md,1.0,,
INFLECTRA,Inflectra,Copy of 195239-4641478.md,1.0,,
INGREZZA,INGREZZA,Copy of 195239-4641478.md,1.0,,
INLYTA,INLYTA,Copy of 195158-4643510.md,1.0,,
INQOVI,INQOVI,Copy of 195158-4643510.md,1.0,,
INREBIC,INREBIC,Copy of 195158-4643510.md,1.0,,
IRESSA,IRESSA,Copy of 195158-4643510.md,1.0,,
Jakafi,Jakafi,Copy of 195158-4643510.md,1.0,,
JAVYGTOR,JAVYGTOR,Copy of 195158-4643510.md,1.0,,
JYNARQUE,Jynarque,Copy of 195239-4641478.md,1.0,,
KALYDECO,Kalydeco,Copy of 195239-4641478.md,1.0,,
Kevzara,Kevzara,Copy of 247339-4770410.md,1.0,,
Kineret,Kineret,Copy of 247339-4770410.md,1.0,,
Kisqali,Kisqali,Copy of 195158-4643510.md,1.0,,
KORLYM,KORLYM,Copy of 195158-4643510.md,1.0,,
KUVAN,Kuvan,Copy of 195239-4641478.md,1.0,,
Kyprolis,Kyprolis,Copy of 287728-4459856.md,1.0,,
LENVIMA,LENVIMA,Copy of 195158-4643510.md,1.0,,
LETAIRIS,Letairis,Copy of 308650-4595103.md,1.0,,
Litfulo,Litfulo,Copy of 270625-4631548.md,1.0,,
LIVMARLI,LIVMARLI,Copy of 195239-4641478.md,1.0,,
LIVTENCITY,LIVTENCITY,Copy of 195239-4641478.md,1.0,,
Lonsurf,Lonsurf,Copy of 195158-4643510.md,1.0,,
LOTRONEX,LOTRONEX,Copy of 195239-4641478.md,1.0,,
LUPRON,Lupron,Copy of 195158-4643510.md,1.0,,
LUPRON DEPOT,Lupron Depot,Copy of 195158-4643510.md,1.0,,
LYBALVI,LYBALVI,Copy of 195239-4641478.md,1.0,,
LYNPARZA,Lynparza,Copy of 195158-4643510.md,1.0,,
LYRICA,Lyrica,Copy of 195239-4641478.md,1.0,,
LYTGOBI,Lytgobi,Copy of 195158-4643510.md,1.0,,
MAVYRET,Mavyret,Copy of 195158-4643510.md,1.0,,
MEKINIST,MEKINIST,Copy of 195158-4643510.md,,,
MEKTOVI,MEKTOVI,Copy of 308650-4595103.md,1.0,,
MEPRON,MEPRON,Copy of 195158-4643510.md,1.0,,
methotrexate,Methotrexate,Copy of 215824-5041653.md,1.0,,
MONJUVI,MONJUVI,Copy of 195158-4643510.md,1.0,,
MOUNJARO,MOUNJARO,Copy of 195158-4643510.md,1.0,,
NAGLAZYME,NAGLAZYME,Copy of 195158-4643510.md,1.0,,
NERLYNX,NERLYNX,Copy of 195158-4643510.md,1.0,,
NUESASTA/NEULASTA ONPRO,Neulasta,Copy of 308650-4595103.md,1.0,,
NEXAVAR,NEXAVAR,Copy of 195158-4643510.md,1.0,,
NEXLETOL,NEXLETOL,Copy of 308650-4595103.md,1.0,,
NEXLIZET,NEXLIZET,Copy of 308650-4595103.md,1.0,,
NINLARO,NINLARO,Copy of 195158-4643510.md,1.0,,
NIVESTYM,Nivestym,Copy of 308650-4595103.md,1.0,,
NORTHERA,NORTHERA,Copy of 195158-4643510.md,1.0,,
NOXAFIL,NOXAFIL,Copy of 195158-4643510.md,1.0,,
NUBEQA,NUBEQA,Copy of 195158-4643510.md,1.0,,
NUEDEXTA,NUEDEXTA,Copy of 195158-4643510.md,1.0,,
NUPLAZID,NUPLAZID,Copy of 195158-4643510.md,1.0,,
NURTEC,NURTEC,Copy of 195158-4643510.md,1.0,,
NUVIGIL,Nuvigil,Copy of 195239-4641478.md,1.0,,
ODOMZO,ODOMZO,Copy of 195158-4643510.md,1.0,,
OFEV,OFEV,Copy of 195239-4641478.md,1.0,,
OJEMDA,OJEMDA,Copy of 195158-4643510.md,1.0,,
OJJAARA,OJJAARA,Copy of 195158-4643510.md,1.0,,
Olumiant,Olumiant,Copy of 247339-4770410.md,1.0,,
OMNIPOD,OMNIPOD,Copy of 195158-4643510.md,1.0,,
OMNIPOD GO,OMNIPOD GO,Copy of 195158-4643510.md,1.0,,
Omvoh,Omvoh,Copy of 247339-4770410.md,1.0,,
ONFI,ONFI,Copy of 308650-4595103.md,1.0,,
ONTRUZANT,ONTRUZANT,Copy of 195158-4643510.md,1.0,,
ONUREG,ONUREG,Copy of 195158-4643510.md,1.0,,
OPSUMIT,OPSUMIT,Copy of 195239-4641478.md,1.0,,
Orencia,Orencia,Copy of 247339-4770410.md,1.0,,
ORGOVYX,ORGOVYX,Copy of 195158-4643510.md,1.0,,
ORKAMBI,ORKAMBI,Copy of 195158-4643510.md,1.0,,
ORSERDU,ORSERDU,Copy of 195158-4643510.md,1.0,,
OTEZLA,Otezla,Copy of 195239-4641478.md,1.0,,
Otulfi,Otulfi,Copy of 203402-5001149.md,1.0,,
OXBRYTA,OXBRYTA,Copy of 195239-4641478.md,1.0,,
OZEMPIC,OZEMPIC,Copy of 195158-4643510.md,1.0,,
PANRETIN,PANRETIN,Copy of 195158-4643510.md,1.0,,
PEGASYS,PEGASYS,Copy of 195158-4643510.md,1.0,,
PEMAZYRE,PEMAZYRE,Copy of 195158-4643510.md,1.0,,
PENNSAID,PENNSAID,Copy of 195158-4643510.md,1.0,,
Pepaxto,Pepaxto,Copy of 287728-4459856.md,1.0,,
PHESGO,PHESGO,Copy of 195158-4643510.md,1.0,,
PIQRAY,PIQRAY,Copy of 195158-4643510.md,1.0,,
POMALYST,POMALYST,Copy of 195158-4643510.md,1.0,,
PRALUENT,PRALUENT,Copy of 195239-4641478.md,1.0,,
PREVYMIS,PREVYMIS,Copy of 195158-4643510.md,1.0,,
PROCRIT,PROCRIT,Copy of 195158-4643510.md,1.0,,
PROLASTIN,PROLASTIN,Copy of 195239-4641478.md,1.0,,
PROVIGIL,PROVIGIL,Copy of 195239-4641478.md,1.0,,
Pyzchiva,Psychiva / Quallent,Copy of 247339-4770410.md,1.0,,
PULMOZYME,PULMOZYME,Copy of 195158-4643510.md,1.0,,
Pyzchiva,Pyzchiva,Copy of 247339-4770410.md,1.0,,
QINLOCK,QINLOCK,Copy of 195158-4643510.md,1.0,,
QULIPTA,Qulipta,Copy of 195158-4643510.md,1.0,,
RADICAVA ORS,Radicava,Copy of 195239-4641478.md,1.0,,
RAVICTI,RAVICTI,Copy of 195239-4641478.md,1.0,,
RECTIV,RECTIV,Copy of 195239-4641478.md,1.0,,
RELISTOR,RELISTOR,Copy of 195239-4641478.md,1.0,,
Remicade,Remicade,Copy of 258492-5030356.md,1.0,,
RENFLEXIS,Renflexis,Copy of 195239-4641478.md,1.0,,
Repatha,Repatha,Copy of 308650-4595103.md,1.0,,
RETACRIT,RETACRIT,Copy of 195239-4641478.md,1.0,,
RETEVMO,RETEVMO,Copy of 195158-4643510.md,1.0,,
REVATIO,Revatio,Copy of 195239-4641478.md,1.0,,
Rexulti,Rexulti,Copy of 195158-4643510.md,1.0,,
REXUROCK,REXUROCK,Copy of 308650-4595103.md,1.0,,
REZDIFFRA,REZDIFFRA,Copy of 195239-4641478.md,1.0,,
REZUROCK,REZUROCK,Copy of 195239-4641478.md,1.0,,
RHOPRESSA,RHOPRESSA,Copy of 195239-4641478.md,1.0,,
RINVOQ,RINVOQ,Copy of 195239-4641478.md,1.0,,
Rituxan Hycela,Rituxan Hycela,Copy of 298309-4972610.md,1.0,,
ROZLYTREK,ROZLYTREK,Copy of 195158-4643510.md,1.0,,
RUBRACA,RUBRACA,Copy of 195158-4643510.md,1.0,,
RYBELSUS,RYBELSUS,Copy of 195158-4643510.md,1.0,,
RYDAPT,RYDAPT,Copy of 195158-4643510.md,1.0,,
SABRIL,SABRIL,Copy of 195239-4641478.md,1.0,,
SAJAZIR,SAJAZIR,Copy of 195158-4643510.md,1.0,,
Sarclisa,Sarclisa,Copy of 287728-4459856.md,1.0,,
SCEMBLIX,SCEMBLIX,Copy of 195158-4643510.md,1.0,,
Secuado,Secuado,Copy of 195158-4643510.md,1.0,,
Selarsdi,Selarsdi,Copy of 330107-4979411.md,1.0,,
SIGNIFOR,SIGNIFOR,Copy of 195158-4643510.md,1.0,,
Siliq,Siliq,Copy of 247339-4770410.md,1.0,,
Simlandi,Simlandi,Copy of 247339-4770410.md,1.0,,
Simponi,Simponi,Copy of 247339-4770410.md,1.0,,
Simponi Aria,Simponi Aria,Copy of 247339-4770410.md,1.0,,
SIRTURO,SIRTURO,Copy of 195158-4643510.md,1.0,,
SKYRIZI,Skyrizi,Copy of 195239-4641478.md,1.0,,
Soriatane,Soriatane,Copy of 297411-4840622.md,1.0,,
Sotyktu,Sotyktu,Copy of 247339-4770410.md,1.0,,
Spesolimab-sbzo,Spesolimab-sbzo,Copy of 362198-4805629.md,1.0,,
SPEVIGO,SPEVIGO,Copy of 195239-4641478.md,1.0,,
Spritam,Spritam,Copy of 195158-4643510.md,1.0,,
STELARA,Stelara,Copy of 195158-4643510.md,1.0,,
Stelara/Wezlana,Stelara/Wezlana,Copy of 372479-5037971.md,1.0,,
Steqeyma,Steqeyma,Copy of 330107-4979411.md,1.0,,
STIVARGA,Stivarga,Copy of 195158-4643510.md,1.0,,
SUTENT,SUTENT,Copy of 195158-4643510.md,1.0,,
SYMDEKO,SYMDEKO,Copy of 195158-4643510.md,1.0,,
SYMLIN,SYMLIN,Copy of 195239-4641478.md,1.0,,
SYMPAZAN,SYMPAZAN,Copy of 195158-4643510.md,1.0,,
SYNAGIS,SYNAGIS,Copy of 195239-4641478.md,1.0,,
SYNAREL,SYNAREL,Copy of 195158-4643510.md,1.0,,
TABRECTA,TABRECTA,Copy of 195158-4643510.md,1.0,,
TAFINLAR,TAFINLAR,Copy of 195158-4643510.md,1.0,,
TAGRISSO,TAGRISSO,Copy of 195158-4643510.md,1.0,,
Taltz,Taltz,Copy of 247339-4770410.md,1.0,,
Talvey,Talvey,Copy of 287728-4459856.md,1.0,,
TALZENNA,TALZENNA,Copy of 195158-4643510.md,,,
Tazorac,Tazorac,Copy of 308650-4595103.md,1.0,,
TECENTRIQ,TECENTRIQ,Copy of 195158-4643510.md,1.0,,
Tecvayli,Tecvayli,Copy of 287728-4459856.md,1.0,,
TEPMETKO,Tepmetko,Copy of 195158-4643510.md,1.0,,
THALOMID,Thalomid,Copy of 195158-4643510.md,1.0,,
TIBSOVO,Tibsovo,Copy of 195158-4643510.md,1.0,,
Tofidence,Tofidence,Copy of 247339-4770410.md,1.0,,
TRACLEER,Tracleer,Copy of 195239-4641478.md,1.0,,
Trazimera,Trazimera,Copy of 195158-4643510.md,1.0,,
TREMFYA,Tremfya,Copy of 195239-4641478.md,1.0,,
TRIKAFTA,Trikafta,Copy of 195239-4641478.md,1.0,,
TRINTELLIX,TRINTELLIX,Copy of 195239-4641478.md,1.0,,
TUKYSA,TUKYSA,Copy of 195158-4643510.md,1.0,,
TURALIO,TURALIO,Copy of 195158-4643510.md,1.0,,
TYENNE,TYENNE,Copy of 195158-4643510.md,1.0,,
Tyenne SC,Tyenne SC,Copy of 270625-4631548.md,1.0,,
Tyruko,Tyruko,Copy of 247339-4770410.md,1.0,,
Tysabri,Tysabri,Copy of 247339-4770410.md,1.0,,
UBRELVY,UBRELVY,Copy of 195158-4643510.md,1.0,,
UCERIS,UCERIS,Copy of 195158-4643510.md,1.0,,
UDENYCA/UDENYCA ONPRO,Udenyca,Copy of 308650-4595103.md,1.0,,
UPTRAVI,Uptravi,Copy of 195239-4641478.md,1.0,,
ustekinumab biosimilars,Ustekinumab biosimilars,Copy of 371611-4978411.md,1.0,,
VALCHLOR,VALCHLOR,Copy of 195158-4643510.md,1.0,,
VANFLYTA,VANFLYTA,Copy of 195158-4643510.md,1.0,,
Veklury,Veklury,Copy of 247339-4770410.md,1.0,,
VELCADE,VELCADE,Copy of 195158-4643510.md,1.0,,
VELSIPITY,VELSIPITY,Copy of 195158-4643510.md,1.0,,
VENCLEXTA,VENCLEXTA,Copy of 195158-4643510.md,1.0,,
VEOZAH,VEOZAH,Copy of 195158-4643510.md,1.0,,
VERQUVO,Verquvo,Copy of 195158-4643510.md,1.0,,
VERSACLOZ,Versacloz,Copy of 195158-4643510.md,1.0,,
Verzenio,Verzenio,Copy of 195158-4643510.md,1.0,,
VFEND,VFEND,Copy of 195239-4641478.md,1.0,,
VIJOICE,Vijoice,Copy of 308650-4595103.md,1.0,,
VOTRIENT,VOTRIENT,Copy of 195158-4643510.md,1.0,,
VOWST,VOWST,Copy of 195158-4643510.md,1.0,,
Vraylar,Vraylar,Copy of 195158-4643510.md,1.0,,
VYJUVEK,VYJUVEK,Copy of 195239-4641478.md,1.0,,
WELIREG,WELIREG,Copy of 195158-4643510.md,1.0,,
Wezlana,Wezlana,Copy of 247339-4770410.md,1.0,,
WINREVAIR,Winrevair,Copy of 195239-4641478.md,1.0,,
XALKORI,XALKORI,Copy of 195158-4643510.md,1.0,,
Xcopri,Xcopri,Copy of 195158-4643510.md,1.0,,
XDEMVY,XDEMVY,Copy of 195239-4641478.md,1.0,,
Xeljanz/Xeljanz XR,Xeljanz,Copy of 247339-4770410.md,1.0,,
XENAZINE,XENAZINE,Copy of 195239-4641478.md,1.0,,
XEOMIN,XEOMIN,Copy of 195239-4641478.md,1.0,,
XHANCE,XHANCE,Copy of 195239-4641478.md,1.0,,
XIFAXAN,XIFAXAN,Copy of 195239-4641478.md,1.0,,
XOLAIR,Xolair,Copy of 195239-4641478.md,1.0,,
XOSPATA,XOSPATA,Copy of 195158-4643510.md,1.0,,
XPOVIO,XPOVIO,Copy of 195158-4643510.md,1.0,,
Xtandi,Xtandi,Copy of 195158-4643510.md,1.0,,
XYREM,XYREM,Copy of 195158-4643510.md,1.0,,
Yesintek,Yesintek,Copy of 258492-5030356.md,1.0,,
Yuflyma,Yuflyma,Copy of 247339-4770410.md,1.0,,
Yusimry,Yusimry,Copy of 203402-5001149.md,1.0,,
ZARIXIO,Zarixio,Copy of 308650-4595103.md,1.0,,
ZARXIO,ZARXIO,Copy of 195158-4643510.md,1.0,,
ZEMAIRA,ZEMAIRA,Copy of 195239-4641478.md,1.0,,
ZENATANE,ZENATANE,Copy of 195158-4643510.md,1.0,,
Zeposia,Zeposia,Copy of 247339-4770410.md,1.0,,
ZONISADE,ZONISADE,Copy of 195158-4643510.md,1.0,,
ZTALMY,ZTALMY,Copy of 195158-4643510.md,1.0,,
ZURZUVAE,ZURZUVAE,Copy of 195158-4643510.md,1.0,,
ZYDELIG,ZYDELIG,Copy of 195158-4643510.md,1.0,,
ZYKADIA,ZYKADIA,Copy of 195158-4643510.md,1.0,,
